Altium Designer Pick and Place Locations
C:\Daten\repos\LED-Matrix-Workshop\hardware\pcb\LumaMatrix\Project Outputs for PCB_Project_sart\Pick Place\Pick Place for WCL_Board(JLCPCB Order).csv

========================================================================================================================
File Design Information:

Date:       12.02.25
Time:       11:08
Revision:   a131fa01c3ae3a236c7eddda18354dcf3f7ce583
Variant:    JLCPCB Order
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R3","10k","BottomLayer","RESC1608X05N","132.5168","72.3409","270","Resistor"
"R14","0R","BottomLayer","RESC1608X05N","21.3500","19.8000","180","Resistor"
"R12","100k","BottomLayer","RESC1608X05N","24.3000","25.5750","270","Resistor"
"C4","1uF","BottomLayer","FP-C0603C-CF-MFG","20.4500","25.6000","90","C0603 1 µF X7R 30ppm/°C 10.00% 10 V"
"C3","100nF","BottomLayer","FP-C0603C-CF-MFG","22.6500","25.6000","90","C0603 0.10 µF X7R 30ppm/°C 10.00% 10 V"
"C2","1uF","BottomLayer","FP-C0603C-CF-MFG","18.2500","25.6000","90","C0603 1 µF X7R 30ppm/°C 10.00% 10 V"
"C1","100nF","BottomLayer","FP-C0603C-CF-MFG","15.9500","25.6000","90","C0603 0.10 µF X7R 30ppm/°C 10.00% 10 V"
"S0","SKRHABE010","BottomLayer","SKRHABE010","121.1000","72.5000","135","Switch"
"C7_ROW2","100nF","TopLayer","FP-C0603C-CF-MFG","127.5000","31.5000","90","C0603 0.10 µF X7R 30ppm/°C 10.00% 10 V"
"J8","6-534237-8","BottomLayer","RHDR20W76P0X254_1X20_5080X356X889P","53.7500","85.8700","90","Connector"
"LED7_ROW4","1655","TopLayer","ADA-RGB-1655_V","122.5000","62.5000","180","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel"
"LED7_ROW5","1655","TopLayer","ADA-RGB-1655_V","122.5000","77.5000","180","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel"
"LED7_ROW6","1655","TopLayer","ADA-RGB-1655_V","122.5000","92.5000","180","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel"
"LED7_ROW7","1655","TopLayer","ADA-RGB-1655_V","122.5000","107.5000","180","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel"
"LED7_ROW8","1655","TopLayer","ADA-RGB-1655_V","122.5000","122.5000","180","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel"
"LED6_ROW4","1655","TopLayer","ADA-RGB-1655_V","107.5000","62.5000","180","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel"
"LED6_ROW5","1655","TopLayer","ADA-RGB-1655_V","107.5000","77.5000","180","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel"
"LED6_ROW6","1655","TopLayer","ADA-RGB-1655_V","107.5000","92.5000","180","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel"
"LED6_ROW7","1655","TopLayer","ADA-RGB-1655_V","107.5000","107.5000","180","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel"
"LED6_ROW8","1655","TopLayer","ADA-RGB-1655_V","107.5000","122.5000","180","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel"
